Team_ID;Constructor;Class;Rider_ID
7700;Yamaha;MotoGP ;20000
7701;Kalex;Moto2 ;20001
7702;KTM;Moto3 ;20002
7703;Energica;MotoE ;20003
7704;Suzuki;MotoGP ;20004
7705;Kalex;Moto2 ;20005
7706;KTM;Moto3 ;20006
7707;Energica;MotoE ;20007
7708;Honda;MotoGP ;20008
7709;Kalex;Moto2 ;20009
7710;Honda;Moto3 ;20010
7711;Energica;MotoE ;20011
7712;Honda;MotoGP ;20012
7713;Kalex;Moto2 ;20013
7714;Honda;Moto3 ;20014
7715;Honda;MotoGP ;20015
7716;Kalex;Moto2 ;20016
7717;Honda;Moto3 ;20017
7718;Honda;MotoGP ;20018
7719;Kalex;Moto2 ;20019
7720;KTM;Moto3 ;20020
7721;Yamaha;MotoGP ;20021
7722;Kalex;Moto2 ;20022
7723;Honda;Moto3 ;20023
7724;Honda;MotoGP ;20024
7725;Kalex;Moto2 ;20025
7726;Honda;Moto3 ;20026
7727;Honda;MotoGP ;20027
7728;Kalex;Moto2 ;20028
7729;KTM;Moto3 ;20029
7730;Yamaha;MotoGP ;20030
7731;Suter;Moto2 ;20031
7732;KTM;Moto3 ;20032
7733;Honda;MotoGP ;20033
7734;Kalex;Moto2 ;20034
7735;Aprilia;125cc;20035
7736;Yamaha;MotoGP ;20036
7737;Moriwaki;Moto2 ;20037
7738;Derbi;125cc;20038
7739;Yamaha;MotoGP ;20039
7740;Honda;250cc;20040
7741;Aprilia;125cc;20041
7742;Yamaha;MotoGP ;20042
7743;Gilera;250cc;20043
7744;Derbi;125cc;20044
7745;Ducati;MotoGP ;20045
7746;Aprilia;250cc;20046
7747;Aprilia;125cc;20047
7748;Honda;MotoGP ;20048
7749;Aprilia;250cc;20049
7750;Aprilia;125cc;20050
7751;Yamaha;MotoGP ;20051
7752;Honda;250cc;20052
7753;Honda;125cc;20053
7754;Yamaha;MotoGP ;20054
7755;Honda;250cc;20055
7756;Honda;125cc;20056
7757;Honda;MotoGP ;20057
7758;Aprilia;250cc;20058
7759;Honda;125cc;20059
7760;Honda;MotoGP ;20060
7761;Aprilia;250cc;20061
7762;Aprilia;125cc;20062
7763;Honda;MotoGP ;20063
7764;Honda;250cc;20064
7765;Gilera;125cc;20065
7766;Suzuki;MotoGP ;20066
7767;Yamaha;250cc;20067
7768;Aprilia;125cc;20068
7769;Honda;MotoGP ;20069
7770;Aprilia;250cc;20070
7771;Honda;125cc;20071
7772;Honda;MotoGP ;20072
7773;Aprilia;250cc;20073
7774;Honda;125cc;20074
7775;Honda;MotoGP ;20075
7776;Honda;250cc;20076
7777;Aprilia;125cc;20077
7778;Honda;MotoGP ;20078
7779;Aprilia;250cc;20079
7780;Honda;125cc;20080
7781;Honda;MotoGP ;20081
7782;Aprilia;250cc;20082
7783;Honda;125cc;20083
7784;Honda;MotoGP ;20084
7785;Aprilia;250cc;20085
7786;Aprilia;125cc;20086
7787;Suzuki;MotoGP ;20087
7788;Yamaha;250cc;20088
7789;Honda;125cc;20089
7790;Yamaha;MotoGP ;20090
7791;Honda;250cc;20091
7792;Aprilia;125cc;20092
7793;Yamaha;MotoGP ;20093
7794;Honda;250cc;20094
7795;Honda;125cc;20095
7796;Yamaha;MotoGP ;20096
7797;Yamaha;250cc;20097
7798;Honda;125cc;20098
7799;Honda;MotoGP ;20099
7800;Honda;250cc;20100
7801;JJ Cobas;125cc;20101
7802;Derbi;80cc;20102
7803;Yamaha;MotoGP ;20103
7804;Honda;250cc;20104
7805;Derbi;125cc;20105
7806;Derbi;80cc;20106
7807;Honda;MotoGP ;20107
7808;Honda;250cc;20108
7809;Garelli;125cc;20109
7810;Derbi;80cc;20110
7811;Yamaha;MotoGP ;20111
7812;Yamaha;250cc;20112
7813;Garelli;125cc;20113
7814;Derbi;80cc;20114
7815;Honda;MotoGP ;20115
7816;Honda;250cc;20116
7817;Garelli;125cc;20117
7818;Krauser;80cc;20118
7819;Yamaha;MotoGP ;20119
7820;Chevallier;250cc;20120
7821;Garelli;125cc;20121
7822;Zundapp;80cc;20122
7823;Honda;MotoGP ;20123
7824;Yamaha;250cc;20124
7825;Garelli;125cc;20125
7826;Krauser;50cc;20126
7827;Suzuki;MotoGP ;20127
7828;Yamaha;250cc;20128
7829;Garelli;125cc;20129
7830;Kawasaki;350cc;20130
7831;Kreidler;50cc;20131
7832;Suzuki;MotoGP ;20132
7833;Kawasaki;250cc;20133
7834;Minarelli;125cc;20134
7835;Kawasaki;350cc;20135
7836;Motul Bultaco;50cc;20136
7837;Yamaha;MotoGP ;20137
7838;Kawasaki;250cc;20138
7839;MBA;125cc;20139
7840;Bimota-Yamaha;350cc;20140
7841;Kreidler Van Veen;50cc;20141
7842;Yamaha;MotoGP ;20142
7843;Kawasaki;250cc;20143
7844;Minarelli;125cc;20144
7845;Kawasaki;350cc;20145
7846;Kreidler;50cc;20146
7847;Yamaha;MotoGP ;20147
7848;Kawasaki;250cc;20148
7849;MBA;125cc;20149
7850;Kawasaki;350cc;20150
7851;Bultaco;50cc;20151
7852;Suzuki;MotoGP ;20152
7853;Morbidelli;250cc;20153
7854;Morbidelli;125cc;20154
7855;Yamaha;350cc;20155
7856;Bultaco;50cc;20156
7857;Suzuki;MotoGP ;20157
7858;Harley Davidson;250cc;20158
7859;Morbidelli;125cc;20159
7860;Harley Davidson;350cc;20160
7861;Bultaco;50cc;20161
7862;Yamaha;MotoGP ;20162
7863;Harley Davidson;250cc;20163
7864;Morbidelli;125cc;20164
7865;Yamaha;350cc;20165
7866;Kreidler;50cc;20166
7867;MV Agusta;MotoGP ;20167
7868;Harley Davidson;250cc;20168
7869;Yamaha;125cc;20169
7870;Yamaha;350cc;20170
7871;Van Veen-Kreidler;50cc;20171
7872;MV Agusta;MotoGP ;20172
7873;Yamaha;250cc;20173
7874;Yamaha;125cc;20174
7875;MV Agusta;350cc;20175
7876;Kreidler;50cc;20176
7877;Honda;MotoGP ;20177
7878;Yamaha;250cc;20178
7879;Derbi;125cc;20179
7880;MV Agusta;350cc;20180
7881;Kreidler;50cc;20181
7882;MV Agusta;MotoGP ;20182
7883;Yamaha;250cc;20183
7884;Derbi;125cc;20184
7885;MV Agusta;350cc;20185
7886;Kreidler;50cc;20186
7887;MV Agusta;MotoGP ;20187
7888;Yamaha;250cc;20188
7889;Suzuki;125cc;20189
7890;Benelli;350cc;20190
7891;Derbi;50cc;20191
7892;MV Agusta;MotoGP ;20192
7893;Benelli;250cc;20193
7894;Kawasaki;125cc;20194
7895;MV Agusta;350cc;20195
7896;Derbi;50cc;20196
7897;MV Agusta;MotoGP ;20197
7898;Yamaha;250cc;20198
7899;Yamaha;125cc;20199
7900;MV Agusta;350cc;20200
7901;Suzuki;50cc;20201
7902;Honda;MotoGP ;20202
7903;Honda;250cc;20203
7904;Yamaha;125cc;20204
7905;Honda;350cc;20205
7906;Suzuki;50cc;20206
7907;MV Agusta;MotoGP ;20207
7908;Honda;250cc;20208
7909;Honda;125cc;20209
7910;Honda;350cc;20210
7911;Suzuki;50cc;20211
7912;MV Agusta;MotoGP ;20212
7913;Yamaha;250cc;20213
7914;Suzuki;125cc;20214
7915;Honda;350cc;20215
7916;Honda;50cc;20216
7917;MV Agusta;MotoGP ;20217
7918;Yamaha;250cc;20218
7919;Honda;125cc;20219
7920;Honda;350cc;20220
7921;Suzuki;50cc;20221
7922;MV Agusta;MotoGP ;20222
7923;Honda;250cc;20223
7924;Suzuki;125cc;20224
7925;Honda;350cc;20225
7926;Suzuki;50cc;20226
7927;MV Agusta;MotoGP ;20227
7928;Honda;250cc;20228
7929;Honda;125cc;20229
7930;Honda;350cc;20230
7931;Suzuki;50cc;20231
7932;MV Agusta;MotoGP ;20232
7933;Honda;250cc;20233
7934;Honda;125cc;20234
7935;MV Agusta;350cc;20235
7936;MV Agusta;MotoGP ;20236
7937;MV Agusta;250cc;20237
7938;MV Agusta;125cc;20238
7939;MV Agusta;350cc;20239
7940;MV Agusta;MotoGP ;20240
7941;MV Agusta;250cc;20241
7942;MV Agusta;125cc;20242
7943;MV Agusta;350cc;20243
7944;MV Agusta;MotoGP ;20244
7945;MV Agusta;250cc;20245
7946;MV Agusta;125cc;20246
7947;MV Agusta;350cc;20247
7948;Gilera;MotoGP ;20248
7949;Mondial;250cc;20249
7950;Mondial;125cc;20250
7951;Moto Guzzi;350cc;20251
7952;MV Agusta;MotoGP ;20252
7953;MV Agusta;250cc;20253
7954;MV Agusta;125cc;20254
7955;Moto Guzzi;350cc;20255
7956;Gilera;MotoGP ;20256
7957;NSU;250cc;20257
7958;MV Agusta;125cc;20258
7959;Moto Guzzi;350cc;20259
7960;Gilera;MotoGP ;20260
7961;NSU;250cc;20261
7962;NSU;125cc;20262
7963;Moto Guzzi;350cc;20263
7964;Gilera;MotoGP ;20264
7965;NSU;250cc;20265
7966;NSU;125cc;20266
7967;Moto Guzzi;350cc;20267
7968;Gilera;MotoGP ;20268
7969;Moto Guzzi;250cc;20269
7970;MV Agusta;125cc;20270
7971;Norton;350cc;20271
7972;Norton;MotoGP ;20272
7973;Moto Guzzi;250cc;20273
7974;Mondial;125cc;20274
7975;Norton;350cc;20275
7976;Gilera;MotoGP ;20276
7977;Benelli;250cc;20277
7978;Mondial;125cc;20278
7979;Velocette;350cc;20279
7980;AJS;MotoGP ;20280
7981;Moto Guzzi;250cc;20281
7982;Mondial;125cc;20282
